grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
brunaale_hg,0.09090909090909091,0.0,0.22727272727272727,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.36363636363636365,0.0,0.13636363636363635,0.18181818181818182
brunnopimentaa,0.07692307692307693,0.0,0.38461538461538464,0.46153846153846156,0.0,0.07692307692307693,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.19047619047619047
bruno_oliveir,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.04,0.24,0.12,0.48,0.0,0.04,0.08
bruno_reis,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.13793103448275862,0.13793103448275862,0.1724137931034483,0.3793103448275862,0.034482758620689655,0.0,0.13793103448275862
brunobrownie,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.16666666666666666
brunocruz,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0,0.18181818181818182,0.2727272727272727,0.1,0.0,0.2,0.0,0.2,0.3,0.2
brunomoda_,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.5,0.0,0.125,0.25,0.0,0.0,0.125
brunovox23,0.14705882352941177,0.16176470588235295,0.11764705882352941,0.3088235294117647,0.04411764705882353,0.08823529411764706,0.1323529411764706,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.36666666666666664,0.03333333333333333,0.16666666666666666,0.06666666666666667
brusemmim,0.2,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.0,0.0,0.06666666666666667,0.1,0.2,0.0,0.3,0.0,0.1,0.3
bruubs_vieira_,0.15384615384615385,0.0,0.07692307692307693,0.46153846153846156,0.0,0.15384615384615385,0.15384615384615385,0.0,0.4,0.0,0.0,0.2,0.2,0.2
bruxiany,0.0,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
bruynx_,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.0,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333
bryonis,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0
btrzot,0.125,0.125,0.2125,0.3,0.0625,0.075,0.1,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.0,0.3333333333333333
bubbeatriz,0.125,0.0,0.125,0.5,0.0,0.0,0.25,0.0,0.2,0.2,0.4,0.0,0.2,0.0
bubblylouu,0.25,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857
bucetwigs,0.2,0.1,0.2,0.3,0.0,0.1,0.1,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0
bug_vincent,0.3,0.2,0.2,0.0,0.1,0.1,0.1,0.1568627450980392,0.0784313725490196,0.19607843137254902,0.17647058823529413,0.1568627450980392,0.11764705882352941,0.11764705882352941
burnpurry,0.125,0.375,0.125,0.375,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.1,0.0,0.3
busanbaby97j,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.4,0.2,0.0,0.2,0.2
byandreass,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.1,0.1,0.3,0.1,0.0,0.2,0.2
caah_stos_,0.125,0.0,0.375,0.25,0.125,0.125,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142
caapatta,0.125,0.0,0.25,0.5,0.0,0.0,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.0,0.08333333333333333,0.16666666666666666
cacaukiwi,0.25,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
cadidekell,0.0,0.0,0.375,0.0,0.25,0.125,0.25,0.1,0.0,0.3,0.0,0.3,0.2,0.1
cafecomrapadura,0.1,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285
cahlameirao,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0,0.125,0.1875,0.125,0.1875,0.0,0.25,0.125
sidetoshawny,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
siebrasep,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.15,0.1,0.05,0.4,0.05,0.25,0.0
silvaglopes1,0.14285714285714285,0.13095238095238096,0.19047619047619047,0.36904761904761907,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.32142857142857145,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0.03571428571428571
silviabttgr,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.3055555555555556,0.08333333333333333,0.08333333333333333,0.2777777777777778
silvianetto,0.16216216216216217,0.02702702702702703,0.1891891891891892,0.2972972972972973,0.05405405405405406,0.16216216216216217,0.10810810810810811,0.13846153846153847,0.1076923076923077,0.12307692307692308,0.26153846153846155,0.12307692307692308,0.12307692307692308,0.12307692307692308
simplexmente,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.2,0.2,0.06666666666666667,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.2
sinceraluane,0.0,0.05263157894736842,0.18421052631578946,0.42105263157894735,0.07894736842105263,0.05263157894736842,0.21052631578947367,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5
siqueirathata,0.15,0.05,0.05,0.4,0.1,0.1,0.15,0.07692307692307693,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.23076923076923078
sirigorpds,0.2,0.1,0.1,0.4,0.0,0.2,0.0,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0
siririkamikaze,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,0.2222222222222222,0.19047619047619047,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.0,0.047619047619047616,0.09523809523809523
sistaah_,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.125,0.0,0.25,0.375,0.125,0.0,0.125
snapdragao666,0.19444444444444445,0.08333333333333333,0.08333333333333333,0.2777777777777778,0.08333333333333333,0.1388888888888889,0.1388888888888889,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222
sofialima_t,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333
